Id,SalePrice
1461,121704.55441835713
1462,150087.80883745183
1463,172908.86703003937
1464,183200.27866446273
1465,196331.91970443787
1466,177628.96133898856
1467,159757.5574675689
1468,172331.0817858888
1469,180712.87856075363
1470,120338.4182417345
1471,196635.66397593298
1472,92938.08237252527
1473,90741.79251394406
1474,150027.00981859842
1475,144690.80772080502
1476,375179.5914834676
1477,250794.4166763031
1478,322323.06722557417
1479,286295.31852522027
1480,468643.49726300227
1481,338571.14014639927
1482,211948.12535138195
1483,165770.85887084555
1484,163073.06785802625
1485,179405.30547513795
1486,196472.89585488458
1487,337545.3118065732
1488,248133.5045546702
1489,195545.5707235221
1490,175701.58886459935
1491,195914.99661208034
1492,95006.0501381385
1493,194628.80819175765
1494,287687.8641737287
1495,282522.6214681829
1496,212313.3933007162
1497,148241.91811809418
1498,155354.19924631095
1499,155613.88414804605
1500,152161.99295580553
1501,171410.90181183114
1502,153186.66503004788
1503,254876.01923265762
1504,223368.21818164267
1505,206213.029369627
1506,182431.16279320014
1507,208639.99643531686
1508,205526.27106663169
1509,172609.26512063082
1510,146416.78446830285
1511,145920.62788679297
1512,167716.18579227827
1513,148059.46330363813
1514,147893.6095310116
1515,172250.42661277772
1516,167887.50232088828
1517,153726.82500445476
1518,126168.11356586262
1519,206310.5994556754
1520,135786.19909079483
1521,140556.39862280712
1522,159485.377629275
1523,112880.91413514622
1524,133907.12620476854
1525,124390.30614878835
1526,130927.62363855104
1527,98220.49826444418
1528,129537.04392340561
1529,141711.12769006335
1530,178741.5150174535
1531,125538.8689315837
1532,103407.20517624874
1533,139787.2984318072
1534,119799.48203354252
1535,148511.7385840875
1536,114198.61825054967
1537,71851.07546805449
1538,175949.1927974435
1539,237640.76981007645
1540,102317.51294327485
1541,152432.611622838
1542,137855.4531099063
1543,199511.89086395627
1544,81386.58459432358
1545,108336.70545154151
1546,122506.42445895994
1547,136855.6430992451
1548,138862.19911760977
1549,108036.08376181993
1550,139008.55540733796
1551,111578.56992018568
1552,128343.16223202796
1553,148393.35169952203
1554,117735.29339421549
1555,157404.03901100712
1556,85824.73425044416
1557,118787.25205256355
1558,85236.01708969772
1559,105971.63327974465
1560,149440.43146417988
1561,129200.76888072243
1562,125388.77094300202
1563,113651.61582051337
1564,159628.6993092928
1565,150268.38624421475
1566,214350.67602531766
